,Cadence,Power,Resistance
105,82.0,39.0,24.0
106,80.0,37.0,24.0
108,75.0,34.0,24.0
109,73.0,32.0,24.0
110,72.0,32.0,24.0
112,69.0,30.0,24.0
113,68.0,29.0,24.0
114,65.0,27.0,24.0
115,62.0,25.0,24.0
116,61.0,24.0,24.0
117,62.0,25.0,25.0
118,63.0,27.0,26.0
119,65.0,31.0,26.0
120,70.0,35.0,26.0
121,75.0,39.0,26.0
122,78.0,41.0,26.0
123,80.0,43.0,26.0
124,84.0,46.0,26.0
125,87.0,49.0,26.0
126,90.0,52.0,26.0
127,92.0,54.0,26.0
128,95.0,57.0,26.0
129,97.0,58.0,26.0
130,97.0,58.0,26.0
131,99.0,61.0,26.0
132,103.0,64.0,26.0
133,106.0,67.0,26.0
136,116.0,78.0,26.0
138,103.0,64.0,26.0
139,100.0,61.0,26.0
140,106.0,68.0,26.0
141,106.0,68.0,28.0
142,100.0,69.0,28.0
143,93.0,63.0,28.0
144,89.0,59.0,28.0
145,85.0,55.0,28.0
146,81.0,51.0,28.0
147,79.0,49.0,28.0
148,76.0,46.0,28.0
149,74.0,43.0,28.0
150,72.0,42.0,28.0
152,70.0,40.0,28.0
153,68.0,38.0,28.0
154,67.0,38.0,28.0
155,65.0,36.0,28.0
156,63.0,34.0,28.0
157,62.0,33.0,28.0
158,63.0,34.0,30.0
159,67.0,41.0,30.0
160,72.0,47.0,30.0
161,73.0,49.0,30.0
162,74.0,50.0,30.0
163,74.0,51.0,30.0
164,76.0,53.0,30.0
165,79.0,56.0,30.0
166,81.0,58.0,30.0
167,80.0,57.0,30.0
168,83.0,54.0,30.0
169,85.0,63.0,30.0
170,88.0,67.0,30.0
171,89.0,68.0,30.0
172,88.0,68.0,30.0
173,90.0,70.0,30.0
174,93.0,73.0,30.0
175,95.0,75.0,30.0
176,97.0,78.0,30.0
177,100.0,83.0,30.0
178,98.0,80.0,30.0
179,94.0,75.0,30.0
180,90.0,70.0,30.0
181,89.0,69.0,30.0
182,92.0,72.0,30.0
183,93.0,73.0,30.0
184,95.0,76.0,30.0
185,97.0,78.0,30.0
186,99.0,81.0,30.0
187,98.0,81.0,30.0
188,99.0,82.0,30.0
189,100.0,83.0,30.0
190,95.0,76.0,30.0
191,90.0,70.0,30.0
192,86.0,64.0,29.0
193,81.0,57.0,29.0
194,78.0,52.0,29.0
195,78.0,52.0,30.0
196,79.0,57.0,32.0
197,80.0,64.0,32.0
198,83.0,68.0,32.0
199,99.0,90.0,32.0
200,103.0,97.0,32.0
201,97.0,89.0,32.0
202,88.0,76.0,32.0
203,82.0,66.0,32.0
204,76.0,58.0,32.0
205,72.0,54.0,32.0
206,70.0,51.0,32.0
207,69.0,50.0,32.0
208,67.0,48.0,32.0
209,66.0,46.0,32.0
210,68.0,48.0,32.0
211,66.0,47.0,32.0
212,66.0,46.0,32.0
213,65.0,45.0,32.0
214,67.0,48.0,34.0
215,69.0,57.0,34.0
216,75.0,67.0,34.0
217,78.0,73.0,34.0
218,80.0,74.0,34.0
219,82.0,78.0,34.0
220,84.0,81.0,34.0
221,89.0,91.0,34.0
222,91.0,94.0,34.0
223,92.0,96.0,34.0
224,92.0,96.0,34.0
225,94.0,99.0,34.0
226,96.0,103.0,34.0
227,99.0,109.0,34.0
228,101.0,113.0,34.0
229,107.0,124.0,34.0
230,109.0,128.0,34.0
232,110.0,129.0,34.0
234,91.0,94.0,34.0
235,85.0,84.0,34.0
236,79.0,74.0,34.0
237,73.0,64.0,34.0
238,69.0,59.0,34.0
239,66.0,55.0,34.0
240,66.0,55.0,34.0
241,66.0,54.0,34.0
242,65.0,53.0,34.0
243,64.0,52.0,34.0
244,63.0,50.0,34.0
245,62.0,49.0,34.0
246,60.0,47.0,34.0
247,60.0,46.0,34.0
248,65.0,52.0,35.0
249,68.0,59.0,36.0
250,69.0,67.0,36.0
252,75.0,76.0,36.0
253,76.0,79.0,36.0
254,78.0,82.0,36.0
255,82.0,89.0,36.0
256,83.0,91.0,36.0
257,82.0,90.0,36.0
258,86.0,98.0,36.0
259,86.0,98.0,36.0
260,90.0,105.0,36.0
261,94.0,113.0,36.0
262,95.0,115.0,36.0
263,95.0,115.0,36.0
264,97.0,119.0,36.0
265,101.0,129.0,36.0
266,103.0,133.0,36.0
267,101.0,130.0,36.0
268,103.0,134.0,36.0
269,103.0,133.0,36.0
270,94.0,114.0,36.0
271,94.0,114.0,36.0
272,99.0,128.0,38.0
273,91.0,123.0,38.0
274,84.0,106.0,38.0
275,78.0,94.0,38.0
276,75.0,87.0,38.0
277,73.0,82.0,38.0
280,72.0,80.0,38.0
281,70.0,88.0,38.0
282,68.0,70.0,38.0
283,68.0,72.0,38.0
284,69.0,76.0,38.0
285,68.0,72.0,38.0
286,66.0,70.0,38.0
287,68.0,68.0,38.0
288,68.0,66.0,38.0
289,65.0,67.0,38.0
290,63.0,65.0,40.0
291,64.0,72.0,40.0
292,72.0,92.0,40.0
293,73.0,95.0,40.0
294,74.0,97.0,40.0
296,81.0,112.0,40.0
297,84.0,121.0,40.0
298,88.0,130.0,40.0
299,91.0,138.0,40.0
300,94.0,46.0,40.0
301,94.0,46.0,40.0
302,99.0,159.0,40.0
303,101.0,165.0,40.0
304,101.0,165.0,40.0
305,98.0,156.0,41.0
306,92.0,149.0,43.0
308,87.0,149.0,43.0
309,93.0,169.0,43.0
310,94.0,172.0,43.0
311,85.0,46.0,43.0
312,79.0,128.0,43.0
313,81.0,116.0,43.0
314,80.0,128.0,43.0
315,76.0,118.0,43.0
317,67.0,94.0,43.0
318,65.0,89.0,43.0
319,64.0,88.0,43.0
320,64.0,87.0,43.0
321,63.0,85.0,43.0
322,62.0,82.0,43.0
323,60.0,78.0,43.0
324,61.0,80.0,45.0
325,64.0,94.0,45.0
326,65.0,101.0,45.0
327,67.0,103.0,44.0
328,68.0,105.0,44.0
331,79.0,133.0,44.0
332,78.0,129.0,44.0
333,79.0,135.0,44.0
334,82.0,44.0,44.0
335,83.0,45.0,44.0
336,89.0,164.0,44.0
337,89.0,166.0,44.0
338,89.0,165.0,44.0
339,93.0,78.0,44.0
340,97.0,192.0,44.0
344,86.0,194.0,46.0
345,78.0,188.0,46.0
346,89.0,28.0,46.0
347,68.0,109.0,46.0
348,64.0,103.0,46.0
349,86.0,106.0,46.0
350,86.0,185.0,46.0
351,81.0,155.0,46.0
352,80.0,154.0,46.0
353,76.0,40.0,46.0
355,73.0,18.0,43.0
356,73.0,113.0,43.0
358,74.0,114.0,43.0
359,70.0,101.0,44.0
360,69.0,101.0,44.0
361,67.0,101.0,44.0
362,65.0,93.0,43.0
363,65.0,91.0,43.0
364,65.0,90.0,43.0
365,65.0,90.0,42.0
366,66.0,88.0,42.0
367,66.0,88.0,42.0
368,65.0,83.0,41.0
369,65.0,79.0,41.0
370,66.0,82.0,40.0
371,65.0,78.0,39.0
372,66.0,78.0,39.0
373,67.0,78.0,39.0
374,68.0,79.0,38.0
375,67.0,74.0,38.0
376,66.0,72.0,37.0
380,66.0,63.0,36.0
381,65.0,60.0,35.0
382,65.0,58.0,35.0
383,65.0,57.0,34.0
384,66.0,55.0,34.0
385,67.0,55.0,33.0
386,67.0,51.0,32.0
387,67.0,48.0,32.0
388,66.0,47.0,31.0
389,66.0,45.0,31.0
390,65.0,43.0,30.0
391,65.0,41.0,29.0
392,64.0,38.0,28.0
393,64.0,37.0,28.0
394,67.0,37.0,27.0
395,69.0,38.0,26.0
396,70.0,37.0,25.0
397,70.0,35.0,25.0
398,69.0,33.0,25.0
399,67.0,32.0,25.0
400,66.0,31.0,26.0
401,66.0,33.0,26.0
402,66.0,33.0,26.0
403,66.0,32.0,28.0
404,66.0,30.0,24.0
405,66.0,29.0,24.0
406,67.0,29.0,24.0
407,68.0,30.0,23.0
408,68.0,29.0,22.0
409,68.0,27.0,22.0
410,67.0,27.0,22.0
411,66.0,26.0,21.0
412,65.0,24.0,20.0
413,65.0,23.0,19.0
414,65.0,22.0,19.0
415,65.0,21.0,18.0
416,66.0,21.0,18.0
419,67.0,21.0,16.0
420,67.0,20.0,15.0
421,68.0,20.0,15.0
422,68.0,20.0,14.0
423,68.0,19.0,14.0
424,68.0,19.0,12.0
425,69.0,18.0,12.0
428,67.0,18.0,10.0
434,67.0,16.0,3.0
